Gene,log2FoldChange,pvalue,padj
Arhgap12,-0.0444,0.405,0.79
Phf8,0.0351,0.542,0.863
Ublcp1,-0.639,0.00000111,0.000471
Chd7,0.0878,0.2,0.628
Vps41,-0.0407,0.433,0.807
Rbbp8,-0.157,0.121,0.522
Mul1,0.157,0.000221,0.0217
Wnk3,-0.657,0.167,0.589
Zfp236,0.0549,0.44,0.812
Car8,-0.098,0.424,0.803
Rusc1,-0.0349,0.556,0.87
Uspl1,0.0515,0.382,0.777
Dmxl2,-0.0957,0.361,0.763
Tox,0.0261,0.931,0.984
Ttc1,0.0228,0.682,0.916
Cdk13,-0.00717,0.907,0.979
Katnal1,-0.0449,0.473,0.828
Cftr,-0.333,0.64,0.904
Gtf3c3,-0.0219,0.782,0.947
Sntb2,-0.113,0.138,0.549
Nkx6-2,-0.113,0.87,0.968
Slc7a1,0.0685,0.571,0.877
Thoc6,-0.0625,0.515,0.85
Inhba,0.125,0.432,0.807
Pcf11,0.0651,0.34,0.748
Atp1b2,0.206,0.00741,0.15
Atg2b,0.0769,0.223,0.654
Ankrd42,-0.3,0.302,0.719
Wrap53,-0.0298,0.762,0.941
Rap1gap,0.124,0.538,0.862
Tmem29,0.101,0.523,0.854
Rgl2,0.131,0.0192,0.239
Ssr2,0.135,0.0219,0.255
Pum3,0.193,0.0897,0.465
Myzap,0.0479,0.552,0.869
Shtn1,-0.405,0.0099,0.174
B4galnt3,-0.486,0.282,0.703
Ccdc9,0.0839,0.216,0.645
Cldn5,-0.124,0.488,0.837
Mdfic,-0.242,0.00932,0.168
Mettl18,-0.131,0.38,0.776
BC055324,-0.335,0.278,0.701
Wapl,0.0248,0.695,0.92
Dicer1,0.045,0.306,0.722
Pik3r1,0.069,0.699,0.922
Meis3,-0.161,0.206,0.635
Paqr6,0.216,0.499,0.841
Hibch,-0.0796,0.239,0.669
Nthl1,0.256,0.118,0.519
Ccnb1,-1.19,0.0101,0.175
Utp4,0.0969,0.118,0.518
Mfsd6,-0.0244,0.727,0.93
Gk5,-0.0438,0.766,0.943
Arhgap32,0.00221,0.988,0.996
Mmrn2,-0.00351,0.954,0.989
Rpl21,-0.0284,0.634,0.903
Tardbp,0.00474,0.92,0.982
Cacna2d4,-0.404,0.736,0.934
Shld2,-0.0387,0.718,0.927
Smpx,0.00403,0.951,0.988
Dcp1b,-0.1,0.434,0.809
Syt15,0.0742,0.783,0.948
Serpina3g,-1.81,0.00638,0.138
Piezo2,0.249,0.21,0.639
Zfp281,-0.00266,0.972,0.994
Stx3,-0.0994,0.188,0.614
Cep78,-0.064,0.59,0.887
Kif14,-0.713,0.112,0.507
Rrp9,0.0765,0.276,0.698
Irf8,-0.554,0.087,0.459
Upk2,-0.652,0.439,0.812
Rnf123,0.168,0.000409,0.0307
Ago1,0.0161,0.806,0.953
H2-Ob,-1.95,0.00601,0.134
Sox5,0.0478,0.748,0.937
Hspb8,0.0199,0.784,0.948
Ptchd1,-0.46,0.576,0.879
Fbxo2,-0.327,0.61,0.897
Fmod,-0.115,0.52,0.852
Nop53,-0.0234,0.568,0.876
Tssk1,0.0592,0.874,0.969
Serpina12,-0.517,0.515,0.85
Camsap2,-0.0616,0.344,0.75
Selenow,-0.033,0.447,0.817
Prelp,0.087,0.363,0.765
Sdk2,0.157,0.475,0.829
Tmtc4,0.111,0.335,0.744
Cdc42ep4,-0.0115,0.918,0.981
Mbp,-0.441,0.0547,0.381
Entpd3,-0.324,0.791,0.95
Bicdl1,-0.122,0.287,0.709
Nppa,-0.723,0.0145,0.211
Ccdc74a,0.746,0.133,0.541
D11Wsu47e,0.0414,0.713,0.925
Gucy1a2,-0.345,0.363,0.765
Ggact,0.0391,0.681,0.916
Fam104a,0.0307,0.573,0.878
Mrps27,0.105,0.0893,0.464
Kctd12b,-0.0498,0.76,0.94
Gcn1,0.252,0.000797,0.0432
Kif21b,-0.718,0.0915,0.468
Ddx24,0.0118,0.714,0.925
Klf8,0.0333,0.914,0.98
Pcca,0.0268,0.603,0.894
Pnpla3,-0.61,0.366,0.767
Slc39a11,-0.24,0.081,0.447
Rragb,0.0243,0.869,0.968
Bbox1,0.637,0.413,0.795
Prima1,0.0331,0.946,0.986
Rims1,-0.653,0.287,0.71
Pyroxd1,0.0681,0.406,0.791
Lrrc18,-0.467,0.355,0.76
Fbxl9,-0.0556,0.866,0.967
Bivm,-0.116,0.15,0.564
Fcho2,-0.0754,0.31,0.724
Amot,-0.134,0.204,0.633
Kcnj2,0.28,0.0319,0.302
Rasl12,0.194,0.0669,0.413
Cox6a1,-0.0366,0.752,0.938
Btbd7,-0.0284,0.525,0.855
Tmem273,-0.0588,0.876,0.969
Ubr7,0.0322,0.449,0.818
Gm20604,0.0847,0.444,0.814
Alg13,0.0303,0.775,0.945
Pi4ka,0.108,0.0315,0.301
Coro2b,-0.124,0.139,0.551
Drgx,-0.703,0.432,0.807
Pgm5,-0.0374,0.25,0.678
Coq5,0.011,0.818,0.957
Kirrel,0.0335,0.689,0.918
Tspo,-0.3,0.00974,0.173
Tmem45b,-2.55,0.00176,0.0688
Rnf10,0.125,0.000478,0.0334
Pde3a,0.106,0.11,0.505
Utp15,0.0938,0.218,0.647
Plekha6,0.254,0.000598,0.0376
Gpr155,0.0272,0.756,0.939
Tpp2,-0.0527,0.23,0.66
Ubac2,-0.127,0.0187,0.237
Ppp2r2d,-0.0399,0.446,0.817
Slc24a4,0.167,0.667,0.911
Enc1,-0.441,0.00192,0.0723
Ydjc,-0.241,0.228,0.658
Mapk1ip1,0.175,0.0268,0.28
Cir1,-0.148,0.0665,0.412
Tram2,-0.0891,0.396,0.785
Cpsf2,0.0338,0.503,0.842
Lad1,-0.673,0.000471,0.0334
Myrip,-0.501,0.000648,0.0377
Abca9,-0.0923,0.271,0.695
Gck,-0.574,0.208,0.637
Phlda3,-0.23,0.149,0.562
Efhc1,-0.164,0.596,0.89
Poldip3,0.014,0.797,0.952
Fam169a,0.103,0.687,0.917
Oasl1,-0.506,0.00636,0.138
Abca8a,0.121,0.0976,0.483
Sytl3,-0.0869,0.87,0.968
Ptpre,-0.128,0.41,0.793
Pdcd7,0.0278,0.668,0.911
Haus1,-0.126,0.116,0.515
Rpl37,-0.0867,0.17,0.593
Fhdc1,-0.748,0.0644,0.406
Rhod,-0.195,0.24,0.669
Ppp4r3a,-0.0434,0.454,0.82
Card6,-0.286,0.0031,0.096
Tcf20,-0.101,0.153,0.569
Mcm3,-0.299,0.0609,0.397
Ankrd13a,-0.061,0.175,0.6
8430432A02Rik,0.424,0.566,0.875
Ipo9,0.0178,0.725,0.929
Ndufa7,0.0679,0.263,0.689
Shisa4,0.0685,0.615,0.897
Git2,-0.04,0.491,0.838
Lman1,-0.0141,0.75,0.937
Wipi1,-0.0637,0.188,0.614
Gpr45,-0.178,0.778,0.946
Dlx1,0.63,0.136,0.546
Tdrkh,-0.362,0.00838,0.159
Ammecr1l,0.00887,0.918,0.981
Slc16a6,-0.00696,0.962,0.991
Metap1d,0.182,0.000743,0.0411
Rnpep,0.0477,0.428,0.804
Fam222a,0.112,0.621,0.898
Rimoc1,0.0266,0.688,0.918
Agrn,0.0147,0.859,0.966
Mvk,0.0515,0.596,0.89
Mfsd9,-0.116,0.731,0.932
Tango6,0.206,0.00623,0.136
Tnfrsf18,0.273,0.297,0.716
Pkp2,-0.0157,0.808,0.954
Pigs,-0.0404,0.469,0.827
S100a10,-0.219,0.0873,0.459
Znrf3,0.0878,0.564,0.874
Dcaf17,-0.104,0.208,0.637
Spidr,-0.337,0.0255,0.274
Mettl8,0.0149,0.89,0.974
Arhgef11,-0.0772,0.0999,0.486
Elmod1,-0.477,0.517,0.851
Rapgef5,-0.0603,0.31,0.724
Zbed3,0.0208,0.77,0.944
Tlk1,-0.00444,0.929,0.983
Acacb,0.129,0.0992,0.484
Wdr41,-0.0145,0.819,0.957
Ncapg2,-0.219,0.204,0.633
Mat2b,-0.15,0.00146,0.0612
Igsf3,0.0144,0.898,0.976
2010003K11Rik,-1.81,0.121,0.522
Csgalnact2,-0.0819,0.155,0.571
Tbca,-0.112,0.179,0.604
Sln,-0.458,0.145,0.558
Dstyk,0.0717,0.232,0.661
Dync2i1,-0.159,0.122,0.524
Wdr11,-0.0485,0.338,0.745
Zfp386,-0.141,0.0249,0.271
Tmcc2,0.0255,0.622,0.899
Abhd14b,0.0795,0.366,0.767
Hnrnpf,-0.0149,0.735,0.934
Arsb,-0.113,0.0953,0.479
4933440N22Rik,-0.157,0.602,0.893
Zfp239,0.506,0.289,0.711
Kank3,-0.122,0.192,0.617
Uggt2,0.0675,0.413,0.795
Inpp5f,-0.164,0.0959,0.479
Inka1,0.0557,0.714,0.925
Csdc2,0.246,0.0927,0.472
Ccdc115,0.132,0.0285,0.287
Klhdc8a,-0.104,0.534,0.86
Vwa1,0.0755,0.287,0.709
Ssh1,-0.0194,0.845,0.964
Rassf4,-0.0918,0.418,0.798
Ppig,-0.111,0.0544,0.38
Msantd2,0.276,0.00266,0.0883
Cox10,0.114,0.0741,0.431
Klhl23,0.187,0.00145,0.061
Dzip1,-0.308,0.0413,0.338
Adrm1b,0.101,0.803,0.953
Tent2,-0.0839,0.228,0.658
Armc5,-0.0461,0.625,0.9
Pnliprp1,0.395,0.719,0.927
Bend6,-0.317,0.148,0.562
Nfrkb,0.114,0.06,0.395
Cmklr1,0.0513,0.559,0.871
Slc35f2,-1.27,0.0637,0.405
Zfp451,0.00994,0.878,0.97
Chchd7,0.0848,0.171,0.594
Slc35e2,0.285,0.00234,0.0814
Tbc1d22b,0.145,0.00646,0.138
Kdm5b,-0.0393,0.637,0.904
Sanbr,0.0292,0.703,0.923
Abhd14a,0.1,0.213,0.642
Fbxo38,-0.0636,0.225,0.655
Zfand4,-0.0316,0.794,0.951
Bag2,-0.0159,0.777,0.946
Sgsm1,-0.104,0.709,0.924
Ammecr1,0.121,0.204,0.632
Lyn,-0.24,0.00584,0.131
Rabif,0.0323,0.631,0.901
Tmc7,-0.0287,0.782,0.947
Grk3,-0.358,0.0000652,0.00961
Pm20d1,-0.0965,0.375,0.773
Cilp,-0.0981,0.679,0.915
Isl1,-0.0177,0.98,0.995
Trem1,-1.47,0.248,0.675
Nxt2,-0.0873,0.29,0.711
Sestd1,-0.0184,0.751,0.937
Pelo,0.0545,0.594,0.889
Itga1,-0.0226,0.752,0.938
Stab1,-0.115,0.15,0.564
Hsd3b7,0.0064,0.977,0.994
Mrtfa,0.023,0.836,0.962
Gm5617,-0.0291,0.771,0.944
Ttc19,-0.0968,0.143,0.555
Ehbp1,0.0564,0.348,0.754
Sgsm3,-0.106,0.236,0.665
Tmem183a,0.0727,0.233,0.663
Setd1a,0.0884,0.191,0.616
S100a13,0.0289,0.744,0.936
Prox2,0.0385,0.819,0.958
Pbrm1,0.0239,0.782,0.947
Hps4,0.0556,0.501,0.842
Specc1,0.138,0.238,0.667
Tnfrsf14,-0.212,0.323,0.735
Ctf1,0.0866,0.384,0.778
Ubash3a,-1.92,0.0339,0.31
Arl15,-0.0941,0.178,0.603
Ikbke,-0.0907,0.709,0.924
Arel1,0.0486,0.458,0.822
Grap2,-1.26,0.0111,0.182
Gnl3,0.0245,0.717,0.926
Gjb5,0.643,0.279,0.701
Osbpl6,0.194,0.0175,0.23
Lgalsl,-0.00624,0.935,0.984
Snx18,-0.0955,0.0778,0.44
Rbm45,0.0764,0.247,0.673
Fam83g,-0.0628,0.847,0.964
Esm1,0.0534,0.821,0.958
Smim12,0.0857,0.146,0.56
Gzmk,-0.348,0.906,0.978
Dlgap3,-0.502,0.291,0.713
Tsen2,0.0921,0.339,0.747
Gatad2b,0.131,0.0188,0.238
Rbm7,0.0144,0.824,0.959
Crtac1,0.886,0.43,0.806
Dennd4b,0.131,0.00413,0.11
Atf4,0.0933,0.0303,0.296
Zmym6,0.127,0.0686,0.418
Agps,0.00912,0.882,0.971
Ccno,0.193,0.753,0.938
Nfkbil1,-0.049,0.655,0.908
Fbrs,0.0689,0.298,0.716
Frmpd3,0.102,0.712,0.925
Dhx29,0.094,0.115,0.512
Mgat3,-0.271,0.0385,0.328
Adora1,-0.0958,0.275,0.697
Mfap4,-0.0434,0.739,0.934
Zfp532,0.056,0.353,0.759
Mindy2,-0.115,0.086,0.458
Zmym4,0.108,0.175,0.599
Mios,0.0125,0.843,0.964
Reln,0.00398,0.971,0.993
C1galt1,-0.0873,0.28,0.702
Dctpp1,0.185,0.0426,0.342
Zfp410,0.0357,0.553,0.869
Tbc1d8b,-0.0756,0.424,0.802
Fcmr,-2.85,0.00189,0.0716
Abcb4,-0.00987,0.918,0.981
Mustn1,0.0348,0.816,0.957
Leo1,-0.041,0.66,0.91
Clspn,-1.29,0.000608,0.0376
Tbc1d10b,0.0524,0.419,0.798
Prdm10,0.151,0.0399,0.333
Radx,0.717,0.391,0.781
Ago4,-0.0295,0.646,0.907
Cd2bp2,-0.00833,0.854,0.966
Sdhaf3,0.017,0.864,0.967
Usp22,0.0632,0.329,0.739
Mideas,-0.144,0.0178,0.231
Dmtf1,0.0532,0.379,0.776
AA986860,-0.0934,0.651,0.908
Klhl14,-1.67,0.172,0.595
Pwwp3b,0.138,0.441,0.813
Ubap2l,0.185,0.0000308,0.00555
Dnal1,0.00879,0.903,0.978
Sun2,0.146,0.00182,0.0706
Kcnj12,-0.049,0.631,0.902
Golga7b,0.601,0.0357,0.318
Gtpbp1,0.173,0.00346,0.101
Sem1,0.0407,0.587,0.885
Asxl1,0.128,0.0581,0.39
Map2k3os,0.217,0.113,0.509
Sin3a,-0.00669,0.924,0.983
Adprs,-0.0121,0.88,0.971
Fam227a,0.19,0.303,0.719
Dhrs7b,-0.0587,0.505,0.843
Mier2,0.0315,0.697,0.921
Ube2q1,-0.0297,0.523,0.854
4632404H12Rik,-0.0493,0.559,0.872
Thsd7b,-0.0878,0.842,0.963
Cux2,0.208,0.00989,0.174
Ipo11,-0.041,0.449,0.818
Sh2b3,-0.0183,0.793,0.95
Fam199x,0.0652,0.653,0.908
Kdm7a,0.0181,0.839,0.963
Kcna4,0.344,0.0392,0.331
Atxn2,0.178,0.0032,0.0967
Hirip3,0.0671,0.426,0.804
Asb4,-0.149,0.391,0.781
Stk40,0.0264,0.661,0.91
Pbxip1,-0.0596,0.298,0.716
Oscp1,-0.264,0.118,0.519
Maff,-0.00582,0.966,0.992
Safb2,0.171,0.00108,0.0514
Shc1,-0.132,0.0164,0.223
Zfyve1,0.0414,0.477,0.831
Pla2g6,0.0805,0.329,0.739
Rgsl1,0.148,0.823,0.959
Flad1,0.136,0.0102,0.176
Itpr3,-0.0427,0.683,0.916
Acad12,-0.0276,0.696,0.921
Alkbh5,0.132,0.000242,0.0229
Arrdc4,-0.0929,0.464,0.825
Wdr55,-0.0979,0.322,0.734
Dusp15,-2.53,0.0408,0.335
Immp1l,0.0358,0.597,0.891
Dcst1,-0.255,0.69,0.919
Ypel3,-0.000376,0.996,0.999
Zc3h12a,-0.0704,0.58,0.881
Garem1,0.149,0.122,0.524
Selenok,0.0617,0.174,0.598
Npl,0.0195,0.942,0.986
Jph1,0.202,0.00996,0.175
Mapk6,0.0339,0.553,0.869
Stn1,-0.0282,0.715,0.925
Dhx9,-0.00531,0.89,0.974
Sipa1l1,-0.247,0.00312,0.096
Commd10,-0.0509,0.485,0.835
Dnali1,0.384,0.769,0.944
Atpaf2,0.134,0.00751,0.15
Tceal9,-0.138,0.177,0.602
Ppp1r3a,-0.0846,0.495,0.84
Naa25,0.00297,0.95,0.988
Map3k9,-1.1,0.0555,0.384
Trafd1,0.0936,0.0526,0.374
Wdr74,0.17,0.0356,0.318
Ttc9,-0.238,0.177,0.601
Dpm3,0.223,0.07,0.421
Bmt2,0.0159,0.843,0.964
Sgtb,-0.247,0.236,0.666
Hectd4,0.211,0.000748,0.0412
Id1,0.0367,0.743,0.935
Krtcap2,0.0749,0.255,0.684
Bex2,-0.351,0.677,0.915
Nmnat2,0.255,0.443,0.814
Tmem108,-0.107,0.55,0.868
Apobr,-0.18,0.527,0.856
Maneal,-0.0412,0.886,0.972
Trim46,0.205,0.336,0.744
Hebp1,-0.463,0.000363,0.0284
Smg7,0.0904,0.0284,0.287
Muc1,0.203,0.573,0.878
Exog,0.0323,0.815,0.956
Rnf214,0.0578,0.312,0.725
Lgr6,0.156,0.118,0.518
Aqp11,0.0719,0.652,0.908
Gpr153,0.0813,0.301,0.718
Hecw2,0.0865,0.642,0.905
Krba1,0.161,0.0306,0.298
Foxf1,-0.192,0.551,0.868
Mcts2,-0.166,0.181,0.606
Flt3,-0.722,0.189,0.614
Snai1,0.279,0.141,0.553
Fgf11,-0.0808,0.53,0.858
Trim72,-0.0234,0.739,0.934
Alkbh6,0.0792,0.333,0.744
Nrep,0.029,0.846,0.964
Serpinb6b,-0.0543,0.533,0.859
Lrrtm3,0.11,0.812,0.955
Zc3h6,-0.18,0.413,0.795
Trp53rkb,0.0287,0.884,0.971
Gm9776,0.0303,0.877,0.97
Tom1,0.0154,0.783,0.948
Lhfpl4,-0.226,0.364,0.765
D930007J09Rik,0.276,0.452,0.819
Abra,0.0847,0.587,0.885
Aida,-0.075,0.143,0.554
Foxo4,0.127,0.0382,0.327
Mamstr,0.0498,0.703,0.923
Gm14117,-0.821,0.179,0.604
Greb1l,-0.388,0.0341,0.311
Egflam,-0.0199,0.773,0.945
Gm5436,0.14,0.836,0.962
9930038B18Rik,-0.441,0.452,0.819
Sbk1,0.181,0.117,0.516
Upk3b,-0.413,0.351,0.757
Notum,-0.0767,0.91,0.979
Borcs5,-0.0119,0.878,0.97
Nhlrc3,0.0749,0.335,0.744
Rasef,0.291,0.187,0.612
Gng2,-0.539,0.00196,0.0736
Klhl6,-0.367,0.00503,0.121
Nemp2,-0.193,0.291,0.712
Ptgir,0.117,0.395,0.784
Edem3,-0.0814,0.0903,0.466
Dnai3,0.133,0.971,0.993
Trpv3,-0.134,0.737,0.934
Disc1,0.0228,0.922,0.982
Zfp513,-0.105,0.266,0.69
Tmem18,-0.00197,0.977,0.995
Spice1,0.047,0.614,0.897
Dpy19l1,-0.131,0.129,0.534
Fam89a,-0.229,0.273,0.696
Synpo,-0.119,0.238,0.668
Tmem82,0.114,0.437,0.811
Il17re,-1.02,0.00686,0.144
Zfp866,0.108,0.0988,0.484
Tuba1c,-0.333,0.0135,0.203
Hic1,0.217,0.217,0.646
Qrfp,-0.87,0.433,0.808
Lrrn4,-0.412,0.381,0.776
A530016L24Rik,-0.244,0.00583,0.131
D830039M14Rik,-0.0997,0.517,0.851
Mob1a,-0.0851,0.145,0.558
Tmem186,0.0181,0.741,0.935
Aqp6,0.96,0.135,0.544
Crppa,-0.0333,0.812,0.955
Ppp2r3a,-0.0256,0.636,0.904
Hpdl,0.32,0.0253,0.273
Arl11,-0.54,0.104,0.493
Pyurf,0.123,0.0207,0.249
Lor,0.0889,0.814,0.956
4930426D05Rik,-1.53,0.328,0.739
Simc1,-0.0141,0.931,0.984
Rfesd,-0.135,0.185,0.611
Gpi-ps,0.848,0.0615,0.399
Zmpste24,-0.0786,0.211,0.641
Fam124b,-0.274,0.555,0.87
Upf2,0.0103,0.826,0.96
Niban3,0.131,0.617,0.898
Exoc3l,-0.00226,0.988,0.996
Tmem64,0.0294,0.619,0.898
Pigv,0.132,0.0743,0.432
Fam13c,0.0887,0.363,0.765
Uevld,-0.106,0.199,0.627
Ifi209,-0.725,0.0416,0.339
Trim56,-0.0878,0.0795,0.443
Tmem11,0.116,0.0201,0.246
Pnpla1,1.29,0.473,0.828
Zfp784,-0.443,0.225,0.655
B3galnt1,-0.197,0.226,0.656
D17H6S53E,0.00704,0.927,0.983
Pcdhb19,-0.328,0.0727,0.428
Fbrsl1,0.143,0.0667,0.412
Filip1l,0.0148,0.818,0.957
6530409C15Rik,-0.637,0.258,0.686
Hoxd9,-0.765,0.065,0.408
Or51e2,0.515,0.00725,0.148
Hexim2,0.12,0.564,0.874
Gprasp1,0.0473,0.466,0.825
Tmem130,-1.23,0.0883,0.461
2510009E07Rik,0.0677,0.373,0.771
Gpr135,-0.199,0.452,0.819
Usp48,0.0272,0.558,0.871
Otud1,-0.0149,0.927,0.983
Rnf227,0.0796,0.835,0.962
Hilpda,-0.0607,0.689,0.918
Eif3j2,-0.294,0.356,0.761
Leng9,0.0193,0.894,0.975
Epop,0.0248,0.916,0.981
Pgp,0.0863,0.118,0.518
Gjc2,-0.0726,0.79,0.95
Zfp536,-0.0968,0.379,0.776
Pcdhb12,-0.32,0.451,0.818
Elfn2,-0.135,0.702,0.923
Rab9b,-0.373,0.305,0.722
Zbtb37,0.0245,0.881,0.971
Gm6863,-0.355,0.539,0.862
Acot6,0.0189,0.885,0.972
Frmd8os,0.489,0.083,0.452
Tril,-0.0266,0.772,0.944
Gimap5,-0.017,0.931,0.984
Hscb,-0.161,0.0771,0.438
Rai2,-0.0441,0.553,0.869
Sorcs1,0.199,0.531,0.858
Setx,-0.0457,0.548,0.867
Casc1,0.115,0.361,0.763
Zc2hc1a,-0.0553,0.493,0.839
Fbxl7,0.107,0.336,0.744
Mdga1,0.176,0.0778,0.44
Pars2,-0.139,0.209,0.639
Pxylp1,0.255,0.0455,0.351
Unc5cl,-2.55,0.138,0.548
Zfp3,-0.0217,0.848,0.964
Mmp3,-0.0229,0.954,0.989
Vps37d,0.359,0.205,0.633
Ubxn10,-0.13,0.353,0.759
1700019D03Rik,-0.226,0.197,0.624
Ecm2,0.0724,0.241,0.67
Fam221b,-0.0145,0.897,0.975
Adamts3,0.254,0.0751,0.434
Rbm20,0.272,0.000000129,0.0000888
0610009L18Rik,0.035,0.774,0.945
Pld6,0.341,0.267,0.692
Tmem221,0.082,0.884,0.971
Tox3,-0.224,0.267,0.692
Dpy19l3,-0.112,0.542,0.863
Kcns3,-0.461,0.479,0.832
Fem1a,0.0552,0.377,0.775
1190005I06Rik,-0.111,0.641,0.905
Pde12,-0.0172,0.797,0.952
Rpl7,-0.0256,0.489,0.837
Col6a6,0.195,0.0911,0.467
Ptpn11,-0.0239,0.828,0.96
B430306N03Rik,-1.32,0.0134,0.203
1700048O20Rik,0.687,0.187,0.613
D830025C05Rik,0.0419,0.915,0.981
Prr33,0.0177,0.859,0.966
Oaz1-ps,0.159,0.45,0.818
Rtn4r,0.825,0.00485,0.119
Adamtsl5,-0.0153,0.857,0.966
Lysmd4,0.143,0.041,0.337
Clec4a3,-0.261,0.284,0.705
2900005J15Rik,-0.625,0.0211,0.252
Mgat5b,-0.433,0.279,0.701
Taf10,0.0205,0.654,0.908
Zmym1,0.107,0.454,0.82
Kbtbd7,0.132,0.082,0.449
Slc36a4,-0.0342,0.684,0.916
S1pr2,0.169,0.234,0.664
Zfp469,0.429,0.00106,0.051
Trp53bp1,0.129,0.0186,0.237
Ccdc84,0.12,0.313,0.725
Ncmap,0.561,0.429,0.805
Klhl15,-0.0564,0.664,0.911
Gimap7,-2.8,0.00458,0.115
Wdfy3,0.00987,0.867,0.968
Naalad2,-0.0619,0.409,0.792
Ccrl2,-0.0767,0.551,0.868
Thrap3,0.0669,0.0238,0.265
Orai3,-0.0901,0.101,0.488
Cep164,0.00733,0.922,0.982
Pura,-0.0273,0.755,0.939
2900052L18Rik,-0.00991,0.94,0.986
Mgat2,-0.0858,0.12,0.521
Gpr75,-0.382,0.486,0.835
Gls2,0.295,0.341,0.749
Cilp2,-0.169,0.532,0.859
Adgrd1,-0.134,0.454,0.82
Mrpl50,0.0297,0.641,0.905
Pcdhb21,-0.0718,0.796,0.951
Rell2,-0.152,0.854,0.965
Slc35g1,-0.215,0.202,0.63
Irf2bp1,0.112,0.0306,0.298
Ccdc141,0.196,0.000205,0.0206
Als2cl,-0.144,0.128,0.533
Fmn1,-0.0937,0.643,0.906
Pcdhb14,-0.327,0.0204,0.247
Ccr10,0.0673,0.79,0.95
Cep68,0.0775,0.125,0.527
Gpr22,0.192,0.0725,0.428
Zrsr1,-0.155,0.0838,0.454
Tafa2,-0.321,0.541,0.863
Eml6,0.0785,0.359,0.762
S100a1,-0.0311,0.651,0.908
Zfp85os,0.036,0.922,0.982
Lmod3,0.135,0.0256,0.274
C130050O18Rik,0.477,0.203,0.631
Rsbn1,-0.0987,0.466,0.825
Bmerb1,-0.148,0.881,0.971
Proca1,-0.753,0.0321,0.303
9530080O11Rik,0.109,0.83,0.96
Pheta1,0.00188,0.984,0.995
Prss53,-0.099,0.731,0.932
1810024B03Rik,0.0959,0.771,0.944
Arf6,0.0352,0.631,0.901
1810030O07Rik,-0.109,0.068,0.417
Nkrf,-0.106,0.369,0.768
Bclaf3,0.0217,0.867,0.968
Lsm8,-0.101,0.271,0.695
Hepacam2,-0.424,0.395,0.784
Tnip3,-0.266,0.121,0.522
Rnf182,-0.143,0.846,0.964
Bcl2l15,-0.864,0.42,0.799
Foxo1,-0.192,0.0423,0.342
Ptx4,0.776,0.214,0.644
Wfikkn2,-0.256,0.0428,0.342
Gpr146,0.168,0.00317,0.0967
S1pr4,-0.318,0.423,0.801
Cdc25c,-2.18,0.00896,0.165
Vsig4,0.022,0.954,0.989
Gm7887,-0.573,0.385,0.778
Kcnj4,-0.961,0.141,0.553
Grsf1,0.0254,0.611,0.897
Dnajc21,0.0362,0.51,0.846
Nxpe4,0.0482,0.708,0.924
Nhlrc1,0.0293,0.739,0.934
Il20rb,-0.264,0.271,0.695
Pced1b,-0.143,0.44,0.812
Osbpl1a,0.097,0.0354,0.317
Ctla2a,-0.281,0.0239,0.266
Crb3,-0.124,0.839,0.963
Ubb-ps,0.195,0.0344,0.313
Nrn1l,0.33,0.582,0.882
Cnr1,-1.81,0.0367,0.321
Zfp879,0.0797,0.677,0.915
Cdkn2a,-0.128,0.852,0.965
Ubr3,0.108,0.113,0.509
Apol7c,-4.75,0.0157,0.218
Mab21l3,-2.68,0.0325,0.304
Gpr4,-0.117,0.257,0.685
1700001O22Rik,0.242,0.673,0.913
Trp53i13,0.0833,0.397,0.785
Ackr3,-0.0355,0.744,0.936
Aplnr,0.149,0.557,0.87
Alkbh2,-0.163,0.528,0.858
Phlpp1,0.0682,0.229,0.659
Marveld1,0.0687,0.285,0.706
Slc25a53,-0.219,0.328,0.739
Snhg11,-0.518,0.171,0.594
Lacc1,-0.163,0.232,0.661
Sowaha,-0.6,0.179,0.603
Ccdc89,0.83,0.209,0.639
Tmem74b,-0.0911,0.596,0.89
Cxxc4,0.378,0.0233,0.264
Slc16a13,-0.229,0.106,0.499
Pcare,-0.455,0.506,0.843
Tigd3,-0.284,0.473,0.828
Dsg2,-0.011,0.896,0.975
Adig,-2.02,0.00692,0.144
Sptssa,0.00706,0.895,0.975
Gm9493,0.177,0.736,0.934
Camsap3,-0.0309,0.895,0.975
N6amt1,-0.071,0.3,0.718
Dock5,0.0168,0.851,0.964
Zfp507,0.000184,0.998,1
Ffar1,-3.52,0.014,0.207
Rin3,-0.0139,0.931,0.984
Shisa2,-0.177,0.415,0.797
Fhip1b,0.0843,0.196,0.622
Tent5c,-0.551,0.0785,0.441
Tnfaip8l1,-0.116,0.519,0.852
Lncpint,-0.153,0.552,0.869
Ascc1,-0.0706,0.32,0.731
Zfand3,0.0235,0.596,0.89
2510039O18Rik,0.0467,0.389,0.781
Hs3st5,0.146,0.499,0.841
Zfp758,-0.0484,0.588,0.886
Bod1,0.0902,0.11,0.505
Lingo4,-1.28,0.129,0.535
A730020M07Rik,-0.0813,0.631,0.901
Tram1l1,0.129,0.745,0.936
Rps2,0.108,0.0338,0.31
Ackr2,-0.263,0.121,0.522
4921513I03Rik,1.3,0.183,0.609
Dact1,0.157,0.145,0.558
Tceal3,0.0281,0.931,0.984
9930012K11Rik,0.0415,0.897,0.976
Tex38,0.0422,0.914,0.98
Rasip1,0.00494,0.949,0.988
Cage1,-0.164,0.62,0.898
